"STAGE","STOPNAME","the_geom","OBJECTID"
"1","Gungahlin Place","POINT (149.1350746227217 -35.185565657262195)","1"
"1","Manning Clark North","POINT (149.1440022032628 -35.18707790082262)","2"
"1","Mapleton Avenue","POINT (149.15090938491667 -35.19384117440109)","3"
"1","Nullarbor Avenue","POINT (149.1491872626445 -35.20105746044515)","4"
"1","Well Station Drive","POINT (149.1474088206555 -35.208726700156475)","5"
"1","EPIC and Racecourse","POINT (149.14435918703418 -35.228293267727224)","6"
"1","Phillip Avenue","POINT (149.14371129168518 -35.235927896111946)","7"
"1","Swinden Street","POINT (149.13464806483543 -35.24416198657027)","8"
"1","Dickson Interchange","POINT (149.13407574176165 -35.24852999278801)","9"
"1","Macarthur Avenue","POINT (149.1321063440868 -35.260815176721515)","10"
"1","Ipima Street","POINT (149.1312065564681 -35.26643151062357)","11"
"1","Elouera Street","POINT (149.13008355329137 -35.27330161665396)","12"
"1","Alinga Street","POINT (149.1292813464128 -35.278210188324266)","13"
